".Hamilton County, Florida","13,217"
".Hardee County, Florida","25,645"
".Hendry County, Florida","41,339"
".Hernando County, Florida","206,896"
".Highlands County, Florida","105,618"
".Hillsborough County, Florida","1,513,301"
".Holmes County, Florida","19,651"
".Indian River County, Florida","167,352"
".Jackson County, Florida","48,211"
".Jefferson County, Florida","15,042"
".Lafayette County, Florida","7,786"
".Lake County, Florida","410,139"
".Lee County, Florida","822,453"
".Leon County, Florida","297,369"
".Levy County, Florida","45,260"
".Liberty County, Florida","7,603"
".Madison County, Florida","18,198"
".Manatee County, Florida","429,125"
".Marion County, Florida","396,415"
".Martin County, Florida","162,006"
".Miami-Dade County, Florida","2,673,837"
".Monroe County, Florida","81,708"
".Nassau County, Florida","97,899"
".Okaloosa County, Florida","216,482"
".Okeechobee County, Florida","40,412"
".Orange County, Florida","1,452,726"
".Osceola County, Florida","422,545"
".Palm Beach County, Florida","1,518,477"
".Pasco County, Florida","608,794"
".Pinellas County, Florida","961,739"
".Polk County, Florida","787,404"
".Putnam County, Florida","74,731"
".St. Johns County, Florida","306,841"
".St. Lucie County, Florida","358,704"
".Santa Rosa County, Florida","198,268"
".Sarasota County, Florida","462,286"
".Seminole County, Florida","478,772"
".Sumter County, Florida","144,970"
".Suwannee County, Florida","45,411"
".Taylor County, Florida","21,283"
".Union County, Florida","15,460"
".Volusia County, Florida","579,192"
".Wakulla County, Florida","35,178"
".Walton County, Florida","83,304"
".Washington County, Florida","25,414"
".Appling County, Georgia","18,428"
".Atkinson County, Georgia","8,183"
".Bacon County, Georgia","11,191"
".Baker County, Georgia","2,788"
".Baldwin County, Georgia","43,635"
".Banks County, Georgia","19,328"
".Barrow County, Georgia","89,299"
".Bartow County, Georgia","112,816"
".Ben Hill County, Georgia","17,069"
".Berrien County, Georgia","18,214"
".Bibb County, Georgia","156,197"
".Bleckley County, Georgia","12,257"
".Brantley County, Georgia","18,183"
".Brooks County, Georgia","16,253"
".Bryan County, Georgia","48,225"
".Bulloch County, Georgia","83,059"
".Burke County, Georgia","24,388"
".Butts County, Georgia","26,649"
".Calhoun County, Georgia","5,469"
".Camden County, Georgia","57,013"
".Candler County, Georgia","11,000"
".Carroll County, Georgia","124,592"
".Catoosa County, Georgia","68,826"
".Charlton County, Georgia","12,781"
".Chatham County, Georgia","301,107"
".Chattahoochee County, Georgia","8,819"
".Chattooga County, Georgia","24,936"
".Cherokee County, Georgia","281,278"
".Clarke County, Georgia","129,875"
".Clay County, Georgia","2,845"
".Clayton County, Georgia","296,564"
".Clinch County, Georgia","6,662"
".Cobb County, Georgia","771,952"
".Coffee County, Georgia","43,172"
".Colquitt County, Georgia","45,762"
".Columbia County, Georgia","162,419"
".Cook County, Georgia","17,404"
".Coweta County, Georgia","152,882"
".Crawford County, Georgia","12,140"
".Crisp County, Georgia","19,708"
".Dade County, Georgia","16,081"
".Dawson County, Georgia","30,138"
".Decatur County, Georgia","28,982"
".DeKalb County, Georgia","762,820"
".Dodge County, Georgia","19,802"
".Dooly County, Georgia","10,572"
".Dougherty County, Georgia","82,966"
".Douglas County, Georgia","147,316"
".Early County, Georgia","10,574"
".Echols County, Georgia","3,686"
".Effingham County, Georgia","69,041"
".Elbert County, Georgia","19,814"
".Emanuel County, Georgia","22,929"
".Evans County, Georgia","10,695"
".Fannin County, Georgia","25,737"
".Fayette County, Georgia","122,030"
".Floyd County, Georgia","99,443"
".Forsyth County, Georgia","267,237"
".Franklin County, Georgia","24,128"
".Fulton County, Georgia","1,074,634"
".Gilmer County, Georgia","32,407"
".Glascock County, Georgia","2,939"
".Glynn County, Georgia","85,079"
".Gordon County, Georgia","58,954"
".Grady County, Georgia","26,008"
".Greene County, Georgia","20,139"
".Gwinnett County, Georgia","975,353"
".Habersham County, Georgia","47,475"
".Hall County, Georgia","212,692"
".Hancock County, Georgia","8,387"
".Haralson County, Georgia","31,337"
".Harris County, Georgia","36,276"
".Hart County, Georgia","26,909"
".Heard County, Georgia","11,725"
".Henry County, Georgia","248,364"
".Houston County, Georgia","169,631"
".Irwin County, Georgia","9,126"
".Jackson County, Georgia","83,936"
".Jasper County, Georgia","15,951"
".Jeff Davis County, Georgia","14,889"
".Jefferson County, Georgia","15,314"
".Jenkins County, Georgia","8,689"
".Johnson County, Georgia","9,242"
".Jones County, Georgia","28,472"
".Lamar County, Georgia","19,467"
".Lanier County, Georgia","10,171"
".Laurens County, Georgia","49,660"
".Lee County, Georgia","33,642"
".Liberty County, Georgia","68,030"
".Lincoln County, Georgia","7,841"
".Long County, Georgia","18,348"
".Lowndes County, Georgia","119,739"
".Lumpkin County, Georgia","34,796"
".McDuffie County, Georgia","21,713"
".McIntosh County, Georgia","11,180"
".Macon County, Georgia","11,765"
".Madison County, Georgia","31,473"
".Marion County, Georgia","7,449"
".Meriwether County, Georgia","20,845"
".Miller County, Georgia","5,807"
".Mitchell County, Georgia","21,116"
".Monroe County, Georgia","29,427"
".Montgomery County, Georgia","8,655"
".Morgan County, Georgia","21,031"
".Murray County, Georgia","40,472"
".Muscogee County, Georgia","202,616"
".Newton County, Georgia","117,621"
".Oconee County, Georgia","43,588"
".Oglethorpe County, Georgia","15,469"
".Paulding County, Georgia","178,421"
".Peach County, Georgia","28,562"
".Pickens County, Georgia","34,826"
".Pierce County, Georgia","20,168"
".Pike County, Georgia","19,990"
".Polk County, Georgia","43,709"
".Pulaski County, Georgia","9,984"
".Putnam County, Georgia","22,984"
".Quitman County, Georgia","2,249"
".Rabun County, Georgia","17,206"
".Randolph County, Georgia","6,116"
".Richmond County, Georgia","206,640"
".Rockdale County, Georgia","94,984"
".Schley County, Georgia","4,496"
".Screven County, Georgia","13,977"
".Seminole County, Georgia","9,127"
".Spalding County, Georgia","68,919"
".Stephens County, Georgia","26,767"
".Stewart County, Georgia","4,648"
".Sumter County, Georgia","28,877"
".Talbot County, Georgia","5,747"
".Taliaferro County, Georgia","1,600"
".Tattnall County, Georgia","24,064"
".Taylor County, Georgia","7,737"
".Telfair County, Georgia","12,354"
".Terrell County, Georgia","8,754"
